,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
0,1,Apr 8,NYY,BOS,"W,6-5",CG(11),5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.400,.600,1.000,2,1.2,-0.002,1.16,0.00%,RF,0,-0.002
1,2,Apr 9,NYY,BOS,"W,4-2",CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.333,.375,.708,2,1.02,0.007,1.05,0.00%,CF RF,0,-0.0020.007
2,3,Apr 10,NYY,BOS,"L,3-4",CG,5,5,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,.308,.357,.385,.742,3,1.86,-0.041,1.93,-0.03%,RF,0,-0.0020.007-0.041
3,4,Apr 11,NYY,TOR,"L,0-3",CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.250,.333,.313,.646,3,1.26,-0.038,1.32,-0.02%,RF,0,-0.0020.007-0.041-0.038
4,5,Apr 12,NYY,TOR,"W,4-0",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.318,.350,.668,2,0.56,-0.037,.57,-0.02%,CF RF,0,-0.0020.007-0.041-0.038-0.037
5,6,Apr 13,NYY,TOR,"L,4-6",CG,5,4,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.292,.370,.500,.870,2,1.32,0.121,1.40,0.08%,RF,1,-0.0020.007-0.041-0.038-0.0370.121
6,7,Apr 14,NYY,TOR,"W,3-0",CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.355,.500,.855,2,0.61,-0.041,.62,-0.03%,CF RF,1,-0.0020.007-0.041-0.038-0.0370.121-0.041
7,8,Apr 15,NYY,BAL,"L,1-2",10-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.344,.483,.827,8,3.94,-0.106,4.15,-0.07%,PH,1,-0.0020.007-0.041-0.038-0.0370.121-0.041-0.106
8,9,Apr 16,NYY,BAL,"W,5-2",CG,5,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.281,.361,.469,.830,2,1.26,0.068,1.27,0.04%,RF,1,-0.0020.007-0.041-0.038-0.0370.121-0.041-0.1060.068
9,10,Apr 17,NYY,BAL,"L,0-5",CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.257,.350,.429,.779,2,1.43,-0.097,1.52,-0.06%,RF,1,-0.0020.007-0.041-0.038-0.0370.121-0.041-0.1060.068-0.097
